year,pbi,provincias_contabilizadas
1993,9957.671793812999,1
1994,15489.3959894717,2
1995,17328.9536972225,2
1996,16909.879875278,2
1997,18212.5699277202,2
1998,17567.358786878598,2
1999,17790.185775442802,2
2000,19364.633378339702,2
2001,18726.8808839332,2
2002,17418.6116559762,2
2003,17145.0253700492,2
2004,399824.19577551953,16
2005,440342.754254883,16
2006,478007.1129069214,16
2007,521410.51879787084,16
2008,534135.050021442,15
2009,511783.89807701204,15
2010,556586.4617202051,15
2011,592098.3699292454,15
2012,591206.729308062,15
2013,610858.6274263769,15
2014,607299.1430458666,15
2015,627046.174344591,16
2016,614185.7372949246,16
2017,632131.182539797,16
2018,618545.2113859243,16
2019,606406.134026493,15
2020,526281.336717078,13
2021,581136.3775797595,13
2022,611226.6656572688,13
2023,570706.6749985754,11
2024,549682.2542564247,9
