indice_tiempo,país de residencia,turistas_no_residentes,pernoctes_no_residentes,estadia_media_no_residentes,observaciones
2014-01-01,Brasil,1964,21494,10.9,""
2014-01-01,Chile,3138,29658,9.5,""
2014-01-01,"EE.UU, Canadá y México",3635,64738,17.8,""
2014-01-01,Resto de América,2290,40250,17.6,""
2014-01-01,Europa y resto del mundo,2159,77531,35.9,""
2014-04-01,Brasil,2049,14846,7.2,""
2014-04-01,Chile,4088,20976,5.1,""
2014-04-01,"EE.UU, Canadá y México",2632,48124,18.3,""
,,,,,""
2014-04-01,Europa y resto del mundo,1531,35633,23.3,""
2014-07-01,Brasil,4270,34447,8.1,""
2014-07-01,Chile,3459,21567,6.2,""
2014-07-01,"EE.UU, Canadá y México",2957,54460,18.4,""
2014-07-01,Resto de América,2521,37765,15,""
2014-07-01,Europa y resto del mundo,1608,77126,48,""
2014-10-01,Brasil,3188,24339,7.6,""
2014-10-01,Chile,4278,37482,8.8,""
2014-10-01,"EE.UU, Canadá y México",2241,43086,19.2,""
2014-10-01,Resto de América,2461,31881,13,""
2014-10-01,Europa y resto del mundo,1623,27854,17.2,""
2015-01-01,Brasil,2131,21696,10.2,""
2015-01-01,Chile,2678,24774,9.3,""
2015-01-01,"EE.UU, Canadá y México",2655,39906,15,""
2015-01-01,Resto de América,1742,17443,10,""
2015-01-01,Europa y resto del mundo,1842,36390,19.8,""
2015-04-01,Brasil,2057,15955,7.8,""
2015-04-01,Chile,2868,17363,6.1,""
2015-04-01,"EE.UU, Canadá y México",2456,27138,11,""
2015-04-01,Resto de América,1648,18316,11.1,""
2015-04-01,Europa y resto del mundo,1708,28451,16.7,""
2015-07-01,Brasil,2574,23420,9.1,""
2015-07-01,Chile,3221,17957,5.6,""
2015-07-01,"EE.UU, Canadá y México",3044,39191,12.9,""
2015-07-01,Resto de América,1859,26667,14.3,""
2015-07-01,Europa y resto del mundo,1895,48690,25.7,""
2015-10-01,Brasil,1917,15345,8,""
2015-10-01,Chile,3224,19481,6,""
2015-10-01,"EE.UU, Canadá y México",2627,28334,10.8,""
2015-10-01,Resto de América,2978,55847,18.8,""
2015-10-01,Europa y resto del mundo,2203,49009,22.2,""
2016-01-01,Brasil,1427,17952,12.6,""
2016-01-01,Chile,1762,12579,7.1,""
2016-01-01,"EE.UU, Canadá y México",3457,58469,16.9,""
2016-01-01,Resto de América,2098,36165,17.2,""
2016-01-01,Europa y resto del mundo,2819,60246,21.4,""
2016-04-01,Brasil,1681,19420,11.6,""
2016-04-01,Chile,2011,11898,5.9,""
2016-04-01,"EE.UU, Canadá y México",2347,46869,20,""
2016-04-01,Resto de América,1555,23086,14.8,""
2016-04-01,Europa y resto del mundo,1864,39590,21.2,""
2016-07-01,Brasil,3166,30286,9.6,""
2016-07-01,Chile,3823,19814,5.2,""
2016-07-01,"EE.UU, Canadá y México",2723,73807,27.1,""
2016-07-01,Resto de América,2409,42563,17.7,""
2016-07-01,Europa y resto del mundo,1887,46295,24.5,""
2016-10-01,Brasil,3121,49798,16,""
2016-10-01,Chile,3758,19047,5.1,""
2016-10-01,"EE.UU, Canadá y México",2328,22744,9.8,""
2016-10-01,Resto de América,4249,60278,14.2,""
2016-10-01,Europa y resto del mundo,2385,36912,15.5,""
2017-01-01,Brasil,2116,18736,8.9,""
2017-01-01,Chile,2654,20019,7.5,""
2017-01-01,"EE.UU, Canadá y México",3107,42490,13.7,""
2017-01-01,Resto de América,3585,47949,13.4,""
2017-01-01,Europa y resto del mundo,4036,52132,12.9,""
2017-04-01,Brasil,2463,20809,8.4,""
2017-04-01,Chile,3769,22673,6,""
2017-04-01,"EE.UU, Canadá y México",2620,33248,12.7,""
2017-04-01,Resto de América,3490,39179,11.2,""
2017-04-01,Europa y resto del mundo,2725,52631,19.3,""
2017-07-01,Brasil,4044,54958,13.6,""
2017-07-01,Chile,4890,26511,5.4,""
2017-07-01,"EE.UU, Canadá y México",2879,55645,19.3,""
2017-07-01,Resto de América,3935,48037,12.2,""
2017-07-01,Europa y resto del mundo,2581,79549,30.8,""
2017-10-01,Brasil,3037,29642,9.8,""
2017-10-01,Chile,6456,36844,5.7,""
2017-10-01,"EE.UU, Canadá y México",3066,60164,19.6,""
2017-10-01,Resto de América,6227,56634,9.1,""
2017-10-01,Europa y resto del mundo,3217,62497,19.4,""
2018-01-01,Brasil,2157,26295,12.2,""
2018-01-01,Chile,3780,22893,6.1,""
2018-01-01,"EE.UU, Canadá y México",4091,49065,12,""
2018-01-01,Resto de América,5244,59110,11.3,""
2018-01-01,Europa y resto del mundo,4643,109714,23.6,""
2018-04-01,Brasil,2757,36235,13.1,""
2018-04-01,Chile,4864,28089,5.8,""
2018-04-01,"EE.UU, Canadá y México",3288,40621,12.4,""
2018-04-01,Resto de América,5040,55550,11,""
2018-04-01,Europa y resto del mundo,3111,62599,20.1,""
2018-07-01,Brasil,5073,50259,9.9,""
2018-07-01,Chile,6034,39117,6.5,""
2018-07-01,"EE.UU, Canadá y México",3516,50401,14.3,""
2018-07-01,Resto de América,5410,66208,12.2,""
2018-07-01,Europa y resto del mundo,2962,86904,29.3,""
2018-10-01,Brasil,4170,53473,12.8,""
2018-10-01,Chile,7142,33930,4.8,""
2018-10-01,"EE.UU, Canadá y México",3681,43236,11.7,""
