indice_tiempo,país de residencia,turistas_no_residentes,pernoctes_no_residentes,estadia_media_no_residentes,observaciones
2014-01-01,Bolivia,17181,262161,15.3,""
2014-01-01,Brasil,149582,1113195,7.4,""
2014-01-01,Chile,48953,382341,7.8,""
2014-01-01,Paraguay,17316,161133,9.3,""
2014-01-01,Uruguay,11429,77728,6.8,""
2014-01-01,EE.UU y Canadá,82090,1393514,17,""
2014-01-01,Resto América,84200,1305320,15.5,""
2014-01-01,Europa,170533,3612871,21.2,""
2014-01-01,Resto del Mundo,40633,900348,22.2,""
2014-04-01,Bolivia,15517,199828,12.9,""
2014-04-01,Brasil,175018,1058864,6.1,""
2014-04-01,Chile,54539,326089,6,""
2014-04-01,Paraguay,18246,112536,6.2,""
2014-04-01,Uruguay,14972,65155,4.4,""
2014-04-01,EE.UU y Canadá,52685,998973,19,""
2014-04-01,Resto América,87090,1081195,12.4,""
2014-04-01,Europa,102601,2464099,24,""
2014-04-01,Resto del Mundo,29344,346338,11.8,""
2014-07-01,Bolivia,17505,222344,12.7,""
2014-07-01,Brasil,224259,1515853,6.8,""
2014-07-01,Chile,70313,500929,7.1,""
2014-07-01,Paraguay,15007,128380,8.6,""
2014-07-01,Uruguay,18441,82489,4.5,""
2014-07-01,EE.UU y Canadá,48622,841527,17.3,""
2014-07-01,Resto América,100419,1375083,13.7,""
2014-07-01,Europa,94943,2055937,21.7,""
2014-07-01,Resto del Mundo,30723,563263,18.3,""
2014-10-01,Bolivia,23000,369456,16.1,""
2014-10-01,Brasil,180361,1121687,6.2,""
2014-10-01,Chile,63170,456499,7.2,""
2014-10-01,Paraguay,11160,79876,7.2,""
2014-10-01,Uruguay,14589,90384,6.2,""
2014-10-01,EE.UU y Canadá,64843,1030919,15.9,""
2014-10-01,Resto América,133581,1977314,14.8,""
2014-10-01,Europa,145067,2706490,18.7,""
2014-10-01,Resto del Mundo,38796,769613,19.8,""
2015-01-01,Bolivia,19528,230060,11.8,""
2015-01-01,Brasil,145922,1049493,7.2,""
2015-01-01,Chile,55832,398086,7.1,""
2015-01-01,Paraguay,10045,75501,7.5,""
2015-01-01,Uruguay,10490,35921,3.4,""
2015-01-01,EE.UU y Canadá,83939,1137027,13.5,""
2015-01-01,Resto América,94023,1599654,17,""
2015-01-01,Europa,176777,3831945,21.7,""
2015-01-01,Resto del Mundo,44106,744868,16.9,""
2015-04-01,Bolivia,17723,212712,12,""
2015-04-01,Brasil,147540,885905,6,""
2015-04-01,Chile,57284,346016,6,""
2015-04-01,Paraguay,12072,109371,9.1,""
2015-04-01,Uruguay,14443,67562,4.7,""
2015-04-01,EE.UU y Canadá,55277,920866,16.7,""
2015-04-01,Resto América,86832,1223777,14.1,""
2015-04-01,Europa,105708,2437848,23.1,""
2015-04-01,Resto del Mundo,31269,443822,14.2,""
2015-07-01,Bolivia,15424,169581,11,""
2015-07-01,Brasil,182629,1269388,7,""
2015-07-01,Chile,62075,404811,6.5,""
2015-07-01,Paraguay,10731,89534,8.3,""
2015-07-01,Uruguay,16072,79534,4.9,""
2015-07-01,EE.UU y Canadá,48953,738631,15.1,""
2015-07-01,Resto América,94839,1535524,16.2,""
2015-07-01,Europa,90448,2084428,23,""
2015-07-01,Resto del Mundo,33287,557635,16.8,""
2015-10-01,Bolivia,19544,261174,13.4,""
2015-10-01,Brasil,116157,897575,7.7,""
2015-10-01,Chile,57603,400228,6.9,""
2015-10-01,Paraguay,18418,173285,9.4,""
2015-10-01,Uruguay,12582,49471,3.9,""
2015-10-01,EE.UU y Canadá,70115,996353,14.2,""
2015-10-01,Resto América,106889,1920255,18,""
2015-10-01,Europa,139856,2651424,19,""
2015-10-01,Resto del Mundo,40270,697285,17.3,""
2016-01-01,Bolivia,18275,253126,13.9,""
2016-01-01,Brasil,83492,662746,7.9,""
2016-01-01,Chile,49687,356249,7.2,""
2016-01-01,Paraguay,14085,119689,8.5,""
2016-01-01,Uruguay,11150,57925,5.2,""
2016-01-01,EE.UU y Canadá,92351,1343204,14.5,""
2016-01-01,Resto América,85319,1548849,18.2,""
2016-01-01,Europa,184460,4384423,23.8,""
2016-01-01,Resto del Mundo,51927,635581,12.2,""
2016-04-01,Bolivia,13948,164365,11.8,""
2016-04-01,Brasil,127142,790117,6.2,""
2016-04-01,Chile,51762,306741,5.9,""
2016-04-01,Paraguay,14006,90092,6.4,""
2016-04-01,Uruguay,15850,65382,4.1,""
2016-04-01,EE.UU y Canadá,58934,786475,13.3,""
2016-04-01,Resto América,74116,1059169,14.3,""
2016-04-01,Europa,104263,2316027,22.2,""
2016-04-01,Resto del Mundo,36689,826912,22.5,""
2016-07-01,Bolivia,16370,235357,14.4,""
2016-07-01,Brasil,183799,1272951,6.9,""
2016-07-01,Chile,53749,317081,5.9,""
2016-07-01,Paraguay,15914,103144,6.5,""
